task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
C11,Summarise,DeepSeek,C_V4,0.0,0.0,0.33333333333333337,0.6666666666666667,0.0,0.0,0.0,0.0
C11,Summarise,Flash,C_V4,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667
C11,Summarise,Gemini,C_V4,0.6666666666666667,0.33333333333333337,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0
C11,Summarise,Qwen,C_V4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.33333333333333337
C16,Interpret,DeepSeek,C_V4,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.0
C16,Interpret,Flash,C_V4,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.6666666666666667,0.33333333333333337
C16,Interpret,Gemini,C_V4,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.6666666666666667
C16,Interpret,Qwen,C_V4,1.0,1.0,0.0,0.6666666666666667,1.0,1.0,1.0,1.0
C17,Interpret,DeepSeek,C_V4,0.0,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337,0.0,0.6666666666666667,0.0
C17,Interpret,Flash,C_V4,0.33333333333333337,0.6666666666666667,0.0,1.0,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337
C17,Interpret,Gemini,C_V4,0.6666666666666667,0.0,1.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.6666666666666667
C17,Interpret,Qwen,C_V4,1.0,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0
C5,Idea-to-Text,DeepSeek,C_V4,0.0,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337
C5,Idea-to-Text,Flash,C_V4,0.6666666666666667,1.0,0.0,0.6666666666666667,1.0,1.0,0.33333333333333337,0.6666666666666667
C5,Idea-to-Text,Gemini,C_V4,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.0,0.0,1.0,0.0
C5,Idea-to-Text,Qwen,C_V4,1.0,0.0,1.0,1.0,0.33333333333333337,0.6666666666666667,0.0,1.0
C6,Idea-to-Text,DeepSeek,C_V4,1.0,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
C6,Idea-to-Text,Flash,C_V4,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.0,0.6666666666666667
C6,Idea-to-Text,Gemini,C_V4,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0
C6,Idea-to-Text,Qwen,C_V4,0.6666666666666667,1.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.33333333333333337,1.0
C8,Summarise,DeepSeek,C_V4,0.0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0
C8,Summarise,Flash,C_V4,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337
C8,Summarise,Gemini,C_V4,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.6666666666666667
C8,Summarise,Qwen,C_V4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
