task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
C11,Q01,Summarise,Fluency,4,3,2,1,C_V4
C11,Q02,Summarise,Coherence,4,2,3,1,C_V4
C11,Q03,Summarise,Conciseness,3,2,4,1,C_V4
C11,Q04,Summarise,Accuracy,2,3,1,4,C_V4
C11,Q05,Summarise,Sentiment match,4,2,1,3,C_V4
C11,Q06,Summarise,Motivational tone,4,3,2,1,C_V4
C11,Q07,Summarise,Constructiveness,4,3,2,1,C_V4
C11,Q08,Summarise,Final choice,4,3,2,1,C_V4
C16,Q01,Interpret,Fluency,2,4,3,1,C_V4
C16,Q02,Interpret,Coherence,2,4,3,1,C_V4
C16,Q03,Interpret,Conciseness,1,3,2,4,C_V4
C16,Q04,Interpret,Accuracy,1,4,3,2,C_V4
C16,Q05,Interpret,Sentiment match,4,3,2,1,C_V4
C16,Q06,Interpret,Motivational tone,3,2,4,1,C_V4
C16,Q07,Interpret,Constructiveness,2,4,3,1,C_V4
C16,Q08,Interpret,Final choice,3,4,2,1,C_V4
C17,Q01,Interpret,Fluency,4,3,2,1,C_V4
C17,Q02,Interpret,Coherence,3,2,4,1,C_V4
C17,Q03,Interpret,Conciseness,2,4,1,3,C_V4
C17,Q04,Interpret,Accuracy,4,1,3,2,C_V4
C17,Q05,Interpret,Sentiment match,4,3,2,1,C_V4
C17,Q06,Interpret,Motivational tone,2,3,4,1,C_V4
C17,Q07,Interpret,Constructiveness,3,1,4,2,C_V4
C17,Q08,Interpret,Final choice,4,2,3,1,C_V4
C5,Q01,Idea-to-Text,Fluency,4,2,3,1,C_V4
C5,Q02,Idea-to-Text,Coherence,2,1,3,4,C_V4
C5,Q03,Idea-to-Text,Conciseness,3,4,2,1,C_V4
C5,Q04,Idea-to-Text,Accuracy,4,2,3,1,C_V4
C5,Q05,Idea-to-Text,Sentiment match,3,2,4,1,C_V4
C5,Q06,Idea-to-Text,Motivational tone,2,3,1,4,C_V4
C5,Q07,Idea-to-Text,Constructiveness,2,1,4,3,C_V4
C5,Q08,Idea-to-Text,Final choice,3,1,4,2,C_V4
C6,Q01,Idea-to-Text,Fluency,1,4,3,2,C_V4
C6,Q02,Idea-to-Text,Coherence,3,2,4,1,C_V4
C6,Q03,Idea-to-Text,Conciseness,1,3,4,2,C_V4
C6,Q04,Idea-to-Text,Accuracy,2,3,4,1,C_V4
C6,Q05,Idea-to-Text,Sentiment match,3,2,4,1,C_V4
C6,Q06,Idea-to-Text,Motivational tone,1,4,2,3,C_V4
C6,Q07,Idea-to-Text,Constructiveness,3,2,4,1,C_V4
C6,Q08,Idea-to-Text,Final choice,3,1,4,2,C_V4
C8,Q01,Summarise,Fluency,4,2,3,1,C_V4
C8,Q02,Summarise,Coherence,4,2,3,1,C_V4
C8,Q03,Summarise,Conciseness,1,3,2,4,C_V4
C8,Q04,Summarise,Accuracy,2,3,4,1,C_V4
C8,Q05,Summarise,Sentiment match,4,3,2,1,C_V4
C8,Q06,Summarise,Motivational tone,4,2,3,1,C_V4
C8,Q07,Summarise,Constructiveness,4,2,3,1,C_V4
C8,Q08,Summarise,Final choice,4,3,2,1,C_V4
