task_id,prompt_label,candidate_index,model
C4,C4_Q01_Fluency,1,Qwen
C4,C4_Q01_Fluency,2,DeepSeek
C4,C4_Q01_Fluency,3,Gemini
C4,C4_Q01_Fluency,4,Flash
C4,C4_Q02_Coherence,1,DeepSeek
C4,C4_Q02_Coherence,2,Flash
C4,C4_Q02_Coherence,3,Qwen
C4,C4_Q02_Coherence,4,Gemini
C4,C4_Q03_Conciseness,1,DeepSeek
C4,C4_Q03_Conciseness,2,Gemini
C4,C4_Q03_Conciseness,3,Qwen
C4,C4_Q03_Conciseness,4,Flash
C4,C4_Q04_Accuracy,1,Qwen
C4,C4_Q04_Accuracy,2,Flash
C4,C4_Q04_Accuracy,3,Gemini
C4,C4_Q04_Accuracy,4,DeepSeek
C4,C4_Q05_Sentimentmatch,1,Flash
C4,C4_Q05_Sentimentmatch,2,Gemini
C4,C4_Q05_Sentimentmatch,3,DeepSeek
C4,C4_Q05_Sentimentmatch,4,Qwen
C4,C4_Q06_Motivationaltone,1,Flash
C4,C4_Q06_Motivationaltone,2,Qwen
C4,C4_Q06_Motivationaltone,3,Gemini
C4,C4_Q06_Motivationaltone,4,DeepSeek
C4,C4_Q07_Constructiveness,1,DeepSeek
C4,C4_Q07_Constructiveness,2,Qwen
C4,C4_Q07_Constructiveness,3,Flash
C4,C4_Q07_Constructiveness,4,Gemini
C4,C4_Q08_Finalchoice,1,Qwen
C4,C4_Q08_Finalchoice,2,Gemini
C4,C4_Q08_Finalchoice,3,Flash
C4,C4_Q08_Finalchoice,4,DeepSeek
C6,C6_Q01_Fluency,1,DeepSeek
C6,C6_Q01_Fluency,2,Flash
C6,C6_Q01_Fluency,3,Gemini
C6,C6_Q01_Fluency,4,Qwen
C6,C6_Q02_Coherence,1,DeepSeek
C6,C6_Q02_Coherence,2,Qwen
C6,C6_Q02_Coherence,3,Flash
C6,C6_Q02_Coherence,4,Gemini
C6,C6_Q03_Conciseness,1,Qwen
C6,C6_Q03_Conciseness,2,Gemini
C6,C6_Q03_Conciseness,3,DeepSeek
C6,C6_Q03_Conciseness,4,Flash
C6,C6_Q04_Accuracy,1,Qwen
C6,C6_Q04_Accuracy,2,DeepSeek
C6,C6_Q04_Accuracy,3,Flash
C6,C6_Q04_Accuracy,4,Gemini
C6,C6_Q05_Sentimentmatch,1,Qwen
C6,C6_Q05_Sentimentmatch,2,Flash
C6,C6_Q05_Sentimentmatch,3,Gemini
C6,C6_Q05_Sentimentmatch,4,DeepSeek
C6,C6_Q06_Motivationaltone,1,DeepSeek
C6,C6_Q06_Motivationaltone,2,Qwen
C6,C6_Q06_Motivationaltone,3,Gemini
C6,C6_Q06_Motivationaltone,4,Flash
C6,C6_Q07_Constructiveness,1,DeepSeek
C6,C6_Q07_Constructiveness,2,Qwen
C6,C6_Q07_Constructiveness,3,Flash
C6,C6_Q07_Constructiveness,4,Gemini
C6,C6_Q08_Finalchoice,1,Gemini
C6,C6_Q08_Finalchoice,2,DeepSeek
C6,C6_Q08_Finalchoice,3,Flash
C6,C6_Q08_Finalchoice,4,Qwen
C10,C10_Q01_Fluency,1,Gemini
C10,C10_Q01_Fluency,2,Qwen
C10,C10_Q01_Fluency,3,DeepSeek
C10,C10_Q01_Fluency,4,Flash
C10,C10_Q02_Coherence,1,Qwen
C10,C10_Q02_Coherence,2,Gemini
C10,C10_Q02_Coherence,3,DeepSeek
C10,C10_Q02_Coherence,4,Flash
C10,C10_Q03_Conciseness,1,Qwen
C10,C10_Q03_Conciseness,2,Gemini
C10,C10_Q03_Conciseness,3,Flash
C10,C10_Q03_Conciseness,4,DeepSeek
C10,C10_Q04_Accuracy,1,Qwen
