task_id,prompt_label,candidate_index,model
C2,C2_Q01_Fluency,1,Qwen
C2,C2_Q01_Fluency,2,DeepSeek
C2,C2_Q01_Fluency,3,Gemini
C2,C2_Q01_Fluency,4,Flash
C2,C2_Q02_Coherence,1,DeepSeek
C2,C2_Q02_Coherence,2,Flash
C2,C2_Q02_Coherence,3,Qwen
C2,C2_Q02_Coherence,4,Gemini
C2,C2_Q03_Conciseness,1,DeepSeek
C2,C2_Q03_Conciseness,2,Gemini
C2,C2_Q03_Conciseness,3,Qwen
C2,C2_Q03_Conciseness,4,Flash
C2,C2_Q04_Accuracy,1,Qwen
C2,C2_Q04_Accuracy,2,Flash
C2,C2_Q04_Accuracy,3,Gemini
C2,C2_Q04_Accuracy,4,DeepSeek
C2,C2_Q05_Sentimentmatch,1,Flash
C2,C2_Q05_Sentimentmatch,2,Gemini
C2,C2_Q05_Sentimentmatch,3,DeepSeek
C2,C2_Q05_Sentimentmatch,4,Qwen
C2,C2_Q06_Motivationaltone,1,Flash
C2,C2_Q06_Motivationaltone,2,Qwen
C2,C2_Q06_Motivationaltone,3,Gemini
C2,C2_Q06_Motivationaltone,4,DeepSeek
C2,C2_Q07_Constructiveness,1,DeepSeek
C2,C2_Q07_Constructiveness,2,Qwen
C2,C2_Q07_Constructiveness,3,Flash
C2,C2_Q07_Constructiveness,4,Gemini
C2,C2_Q08_Finalchoice,1,Qwen
C2,C2_Q08_Finalchoice,2,Gemini
C2,C2_Q08_Finalchoice,3,Flash
C2,C2_Q08_Finalchoice,4,DeepSeek
C5,C5_Q01_Fluency,1,DeepSeek
C5,C5_Q01_Fluency,2,Flash
C5,C5_Q01_Fluency,3,Gemini
C5,C5_Q01_Fluency,4,Qwen
C5,C5_Q02_Coherence,1,DeepSeek
C5,C5_Q02_Coherence,2,Qwen
C5,C5_Q02_Coherence,3,Flash
C5,C5_Q02_Coherence,4,Gemini
C5,C5_Q03_Conciseness,1,Qwen
C5,C5_Q03_Conciseness,2,Gemini
C5,C5_Q03_Conciseness,3,DeepSeek
C5,C5_Q03_Conciseness,4,Flash
C5,C5_Q04_Accuracy,1,Qwen
C5,C5_Q04_Accuracy,2,DeepSeek
C5,C5_Q04_Accuracy,3,Flash
C5,C5_Q04_Accuracy,4,Gemini
C5,C5_Q05_Sentimentmatch,1,Qwen
C5,C5_Q05_Sentimentmatch,2,Flash
C5,C5_Q05_Sentimentmatch,3,Gemini
C5,C5_Q05_Sentimentmatch,4,DeepSeek
C5,C5_Q06_Motivationaltone,1,DeepSeek
C5,C5_Q06_Motivationaltone,2,Qwen
C5,C5_Q06_Motivationaltone,3,Gemini
C5,C5_Q06_Motivationaltone,4,Flash
C5,C5_Q07_Constructiveness,1,DeepSeek
C5,C5_Q07_Constructiveness,2,Qwen
C5,C5_Q07_Constructiveness,3,Flash
C5,C5_Q07_Constructiveness,4,Gemini
C5,C5_Q08_Finalchoice,1,Gemini
C5,C5_Q08_Finalchoice,2,DeepSeek
C5,C5_Q08_Finalchoice,3,Flash
C5,C5_Q08_Finalchoice,4,Qwen
C7,C7_Q01_Fluency,1,Gemini
C7,C7_Q01_Fluency,2,Qwen
C7,C7_Q01_Fluency,3,DeepSeek
C7,C7_Q01_Fluency,4,Flash
C7,C7_Q02_Coherence,1,Qwen
C7,C7_Q02_Coherence,2,Gemini
C7,C7_Q02_Coherence,3,DeepSeek
C7,C7_Q02_Coherence,4,Flash
C7,C7_Q03_Conciseness,1,Qwen
