task_id,prompt_label,candidate_index,model
B1,B1_Q01_Fluency,1,Qwen
B1,B1_Q01_Fluency,2,DeepSeek
B1,B1_Q01_Fluency,3,Gemini
B1,B1_Q01_Fluency,4,Flash
B1,B1_Q02_Coherence,1,DeepSeek
B1,B1_Q02_Coherence,2,Flash
B1,B1_Q02_Coherence,3,Qwen
B1,B1_Q02_Coherence,4,Gemini
B1,B1_Q03_Conciseness,1,DeepSeek
B1,B1_Q03_Conciseness,2,Gemini
B1,B1_Q03_Conciseness,3,Qwen
B1,B1_Q03_Conciseness,4,Flash
B1,B1_Q04_Accuracy,1,Qwen
B1,B1_Q04_Accuracy,2,Flash
B1,B1_Q04_Accuracy,3,Gemini
B1,B1_Q04_Accuracy,4,DeepSeek
B1,B1_Q05_Sentimentmatch,1,Flash
B1,B1_Q05_Sentimentmatch,2,Gemini
B1,B1_Q05_Sentimentmatch,3,DeepSeek
B1,B1_Q05_Sentimentmatch,4,Qwen
B1,B1_Q06_Motivationaltone,1,Flash
B1,B1_Q06_Motivationaltone,2,Qwen
B1,B1_Q06_Motivationaltone,3,Gemini
B1,B1_Q06_Motivationaltone,4,DeepSeek
B1,B1_Q07_Constructiveness,1,DeepSeek
B1,B1_Q07_Constructiveness,2,Qwen
B1,B1_Q07_Constructiveness,3,Flash
B1,B1_Q07_Constructiveness,4,Gemini
B1,B1_Q08_Finalchoice,1,Qwen
B1,B1_Q08_Finalchoice,2,Gemini
B1,B1_Q08_Finalchoice,3,Flash
B1,B1_Q08_Finalchoice,4,DeepSeek
B2,B2_Q01_Fluency,1,DeepSeek
B2,B2_Q01_Fluency,2,Flash
B2,B2_Q01_Fluency,3,Gemini
B2,B2_Q01_Fluency,4,Qwen
B2,B2_Q02_Coherence,1,DeepSeek
B2,B2_Q02_Coherence,2,Qwen
B2,B2_Q02_Coherence,3,Flash
B2,B2_Q02_Coherence,4,Gemini
B2,B2_Q03_Conciseness,1,Qwen
B2,B2_Q03_Conciseness,2,Gemini
B2,B2_Q03_Conciseness,3,DeepSeek
B2,B2_Q03_Conciseness,4,Flash
B2,B2_Q04_Accuracy,1,Qwen
B2,B2_Q04_Accuracy,2,DeepSeek
B2,B2_Q04_Accuracy,3,Flash
B2,B2_Q04_Accuracy,4,Gemini
B2,B2_Q05_Sentimentmatch,1,Qwen
B2,B2_Q05_Sentimentmatch,2,Flash
B2,B2_Q05_Sentimentmatch,3,Gemini
B2,B2_Q05_Sentimentmatch,4,DeepSeek
B2,B2_Q06_Motivationaltone,1,DeepSeek
B2,B2_Q06_Motivationaltone,2,Qwen
B2,B2_Q06_Motivationaltone,3,Gemini
B2,B2_Q06_Motivationaltone,4,Flash
B2,B2_Q07_Constructiveness,1,DeepSeek
B2,B2_Q07_Constructiveness,2,Qwen
B2,B2_Q07_Constructiveness,3,Flash
B2,B2_Q07_Constructiveness,4,Gemini
B2,B2_Q08_Finalchoice,1,Gemini
B2,B2_Q08_Finalchoice,2,DeepSeek
B2,B2_Q08_Finalchoice,3,Flash
B2,B2_Q08_Finalchoice,4,Qwen
B8,B8_Q01_Fluency,1,Gemini
B8,B8_Q01_Fluency,2,Qwen
B8,B8_Q01_Fluency,3,DeepSeek
B8,B8_Q01_Fluency,4,Flash
B8,B8_Q02_Coherence,1,Qwen
B8,B8_Q02_Coherence,2,Gemini
B8,B8_Q02_Coherence,3,DeepSeek
B8,B8_Q02_Coherence,4,Flash
B8,B8_Q03_Conciseness,1,Qwen
B8,B8_Q03_Conciseness,2,Gemini
B8,B8_Q03_Conciseness,3,Flash
B8,B8_Q03_Conciseness,4,DeepSeek
B8,B8_Q04_Accuracy,1,Qwen
