task_id,prompt_label,candidate_index,model
B2,B2_Q01_Fluency,1,Qwen
B2,B2_Q01_Fluency,2,DeepSeek
B2,B2_Q01_Fluency,3,Gemini
B2,B2_Q01_Fluency,4,Flash
B2,B2_Q02_Coherence,1,DeepSeek
B2,B2_Q02_Coherence,2,Flash
B2,B2_Q02_Coherence,3,Qwen
B2,B2_Q02_Coherence,4,Gemini
B2,B2_Q03_Conciseness,1,DeepSeek
B2,B2_Q03_Conciseness,2,Gemini
B2,B2_Q03_Conciseness,3,Qwen
B2,B2_Q03_Conciseness,4,Flash
B2,B2_Q04_Accuracy,1,Qwen
B2,B2_Q04_Accuracy,2,Flash
B2,B2_Q04_Accuracy,3,Gemini
B2,B2_Q04_Accuracy,4,DeepSeek
B2,B2_Q05_Sentimentmatch,1,Flash
B2,B2_Q05_Sentimentmatch,2,Gemini
B2,B2_Q05_Sentimentmatch,3,DeepSeek
B2,B2_Q05_Sentimentmatch,4,Qwen
B2,B2_Q06_Motivationaltone,1,Flash
B2,B2_Q06_Motivationaltone,2,Qwen
B2,B2_Q06_Motivationaltone,3,Gemini
B2,B2_Q06_Motivationaltone,4,DeepSeek
B2,B2_Q07_Constructiveness,1,DeepSeek
B2,B2_Q07_Constructiveness,2,Qwen
B2,B2_Q07_Constructiveness,3,Flash
B2,B2_Q07_Constructiveness,4,Gemini
B2,B2_Q08_Finalchoice,1,Qwen
B2,B2_Q08_Finalchoice,2,Gemini
B2,B2_Q08_Finalchoice,3,Flash
B2,B2_Q08_Finalchoice,4,DeepSeek
B3,B3_Q01_Fluency,1,DeepSeek
B3,B3_Q01_Fluency,2,Flash
B3,B3_Q01_Fluency,3,Gemini
B3,B3_Q01_Fluency,4,Qwen
B3,B3_Q02_Coherence,1,DeepSeek
B3,B3_Q02_Coherence,2,Qwen
B3,B3_Q02_Coherence,3,Flash
B3,B3_Q02_Coherence,4,Gemini
B3,B3_Q03_Conciseness,1,Qwen
B3,B3_Q03_Conciseness,2,Gemini
B3,B3_Q03_Conciseness,3,DeepSeek
B3,B3_Q03_Conciseness,4,Flash
B3,B3_Q04_Accuracy,1,Qwen
B3,B3_Q04_Accuracy,2,DeepSeek
B3,B3_Q04_Accuracy,3,Flash
B3,B3_Q04_Accuracy,4,Gemini
B3,B3_Q05_Sentimentmatch,1,Qwen
B3,B3_Q05_Sentimentmatch,2,Flash
B3,B3_Q05_Sentimentmatch,3,Gemini
B3,B3_Q05_Sentimentmatch,4,DeepSeek
B3,B3_Q06_Motivationaltone,1,DeepSeek
B3,B3_Q06_Motivationaltone,2,Qwen
B3,B3_Q06_Motivationaltone,3,Gemini
B3,B3_Q06_Motivationaltone,4,Flash
B3,B3_Q07_Constructiveness,1,DeepSeek
B3,B3_Q07_Constructiveness,2,Qwen
B3,B3_Q07_Constructiveness,3,Flash
B3,B3_Q07_Constructiveness,4,Gemini
B3,B3_Q08_Finalchoice,1,Gemini
B3,B3_Q08_Finalchoice,2,DeepSeek
B3,B3_Q08_Finalchoice,3,Flash
B3,B3_Q08_Finalchoice,4,Qwen
B7,B7_Q01_Fluency,1,Gemini
B7,B7_Q01_Fluency,2,Qwen
B7,B7_Q01_Fluency,3,DeepSeek
B7,B7_Q01_Fluency,4,Flash
B7,B7_Q02_Coherence,1,Qwen
B7,B7_Q02_Coherence,2,Gemini
B7,B7_Q02_Coherence,3,DeepSeek
B7,B7_Q02_Coherence,4,Flash
B7,B7_Q03_Conciseness,1,Qwen
B7,B7_Q03_Conciseness,2,Gemini
B7,B7_Q03_Conciseness,3,Flash
B7,B7_Q03_Conciseness,4,DeepSeek
B7,B7_Q04_Accuracy,1,Qwen
B7,B7_Q04_Accuracy,2,DeepSeek
B7,B7_Q04_Accuracy,3,Flash
B7,B7_Q04_Accuracy,4,Gemini
B7,B7_Q05_Sentimentmatch,1,Gemini
B7,B7_Q05_Sentimentmatch,2,Flash
B7,B7_Q05_Sentimentmatch,3,DeepSeek
B7,B7_Q05_Sentimentmatch,4,Qwen
B7,B7_Q06_Motivationaltone,1,DeepSeek
B7,B7_Q06_Motivationaltone,2,Gemini
B7,B7_Q06_Motivationaltone,3,Qwen
B7,B7_Q06_Motivationaltone,4,Flash
B7,B7_Q07_Constructiveness,1,Qwen
B7,B7_Q07_Constructiveness,2,DeepSeek
B7,B7_Q07_Constructiveness,3,Flash
B7,B7_Q07_Constructiveness,4,Gemini
B7,B7_Q08_Finalchoice,1,Flash
B7,B7_Q08_Finalchoice,2,Gemini
B7,B7_Q08_Finalchoice,3,Qwen
B7,B7_Q08_Finalchoice,4,DeepSeek
B12,B12_Q01_Fluency,1,Flash
B12,B12_Q01_Fluency,2,Gemini
B12,B12_Q01_Fluency,3,DeepSeek
B12,B12_Q01_Fluency,4,Qwen
B12,B12_Q02_Coherence,1,Qwen
B12,B12_Q02_Coherence,2,DeepSeek
B12,B12_Q02_Coherence,3,Flash
B12,B12_Q02_Coherence,4,Gemini
B12,B12_Q03_Conciseness,1,Gemini
B12,B12_Q03_Conciseness,2,DeepSeek
B12,B12_Q03_Conciseness,3,Qwen
B12,B12_Q03_Conciseness,4,Flash
B12,B12_Q04_Accuracy,1,Gemini
B12,B12_Q04_Accuracy,2,DeepSeek
B12,B12_Q04_Accuracy,3,Flash
B12,B12_Q04_Accuracy,4,Qwen
B12,B12_Q05_Sentimentmatch,1,Flash
B12,B12_Q05_Sentimentmatch,2,DeepSeek
B12,B12_Q05_Sentimentmatch,3,Qwen
B12,B12_Q05_Sentimentmatch,4,Gemini
B12,B12_Q06_Motivationaltone,1,DeepSeek
B12,B12_Q06_Motivationaltone,2,Gemini
B12,B12_Q06_Motivationaltone,3,Flash
B12,B12_Q06_Motivationaltone,4,Qwen
B12,B12_Q07_Constructiveness,1,Qwen
B12,B12_Q07_Constructiveness,2,DeepSeek
B12,B12_Q07_Constructiveness,3,Flash
B12,B12_Q07_Constructiveness,4,Gemini
B12,B12_Q08_Finalchoice,1,Gemini
