task_id,prompt_label,candidate_index,model
A3,A3_Q01_Fluency,1,Qwen
A3,A3_Q01_Fluency,2,DeepSeek
A3,A3_Q01_Fluency,3,Gemini
A3,A3_Q01_Fluency,4,Flash
A3,A3_Q02_Coherence,1,DeepSeek
A3,A3_Q02_Coherence,2,Flash
A3,A3_Q02_Coherence,3,Qwen
A3,A3_Q02_Coherence,4,Gemini
A3,A3_Q03_Conciseness,1,DeepSeek
A3,A3_Q03_Conciseness,2,Gemini
A3,A3_Q03_Conciseness,3,Qwen
A3,A3_Q03_Conciseness,4,Flash
A3,A3_Q04_Accuracy,1,Qwen
A3,A3_Q04_Accuracy,2,Flash
A3,A3_Q04_Accuracy,3,Gemini
A3,A3_Q04_Accuracy,4,DeepSeek
A3,A3_Q05_Sentimentmatch,1,Flash
A3,A3_Q05_Sentimentmatch,2,Gemini
A3,A3_Q05_Sentimentmatch,3,DeepSeek
A3,A3_Q05_Sentimentmatch,4,Qwen
A3,A3_Q06_Motivationaltone,1,Flash
A3,A3_Q06_Motivationaltone,2,Qwen
A3,A3_Q06_Motivationaltone,3,Gemini
A3,A3_Q06_Motivationaltone,4,DeepSeek
A3,A3_Q07_Constructiveness,1,DeepSeek
A3,A3_Q07_Constructiveness,2,Qwen
A3,A3_Q07_Constructiveness,3,Flash
A3,A3_Q07_Constructiveness,4,Gemini
A3,A3_Q08_Finalchoice,1,Qwen
A3,A3_Q08_Finalchoice,2,Gemini
A3,A3_Q08_Finalchoice,3,Flash
A3,A3_Q08_Finalchoice,4,DeepSeek
A6,A6_Q01_Fluency,1,DeepSeek
A6,A6_Q01_Fluency,2,Flash
A6,A6_Q01_Fluency,3,Gemini
A6,A6_Q01_Fluency,4,Qwen
A6,A6_Q02_Coherence,1,DeepSeek
A6,A6_Q02_Coherence,2,Qwen
A6,A6_Q02_Coherence,3,Flash
A6,A6_Q02_Coherence,4,Gemini
A6,A6_Q03_Conciseness,1,Qwen
A6,A6_Q03_Conciseness,2,Gemini
A6,A6_Q03_Conciseness,3,DeepSeek
A6,A6_Q03_Conciseness,4,Flash
A6,A6_Q04_Accuracy,1,Qwen
A6,A6_Q04_Accuracy,2,DeepSeek
A6,A6_Q04_Accuracy,3,Flash
A6,A6_Q04_Accuracy,4,Gemini
A6,A6_Q05_Sentimentmatch,1,Qwen
A6,A6_Q05_Sentimentmatch,2,Flash
A6,A6_Q05_Sentimentmatch,3,Gemini
A6,A6_Q05_Sentimentmatch,4,DeepSeek
A6,A6_Q06_Motivationaltone,1,DeepSeek
A6,A6_Q06_Motivationaltone,2,Qwen
A6,A6_Q06_Motivationaltone,3,Gemini
A6,A6_Q06_Motivationaltone,4,Flash
A6,A6_Q07_Constructiveness,1,DeepSeek
A6,A6_Q07_Constructiveness,2,Qwen
A6,A6_Q07_Constructiveness,3,Flash
A6,A6_Q07_Constructiveness,4,Gemini
A6,A6_Q08_Finalchoice,1,Gemini
A6,A6_Q08_Finalchoice,2,DeepSeek
A6,A6_Q08_Finalchoice,3,Flash
A6,A6_Q08_Finalchoice,4,Qwen
A7,A7_Q01_Fluency,1,Gemini
A7,A7_Q01_Fluency,2,Qwen
A7,A7_Q01_Fluency,3,DeepSeek
A7,A7_Q01_Fluency,4,Flash
A7,A7_Q02_Coherence,1,Qwen
A7,A7_Q02_Coherence,2,Gemini
A7,A7_Q02_Coherence,3,DeepSeek
A7,A7_Q02_Coherence,4,Flash
A7,A7_Q03_Conciseness,1,Qwen
A7,A7_Q03_Conciseness,2,Gemini
A7,A7_Q03_Conciseness,3,Flash
A7,A7_Q03_Conciseness,4,DeepSeek
A7,A7_Q04_Accuracy,1,Qwen
A7,A7_Q04_Accuracy,2,DeepSeek
A7,A7_Q04_Accuracy,3,Flash
A7,A7_Q04_Accuracy,4,Gemini
A7,A7_Q05_Sentimentmatch,1,Gemini
A7,A7_Q05_Sentimentmatch,2,Flash
A7,A7_Q05_Sentimentmatch,3,DeepSeek
A7,A7_Q05_Sentimentmatch,4,Qwen
A7,A7_Q06_Motivationaltone,1,DeepSeek
A7,A7_Q06_Motivationaltone,2,Gemini
A7,A7_Q06_Motivationaltone,3,Qwen
A7,A7_Q06_Motivationaltone,4,Flash
A7,A7_Q07_Constructiveness,1,Qwen
A7,A7_Q07_Constructiveness,2,DeepSeek
A7,A7_Q07_Constructiveness,3,Flash
A7,A7_Q07_Constructiveness,4,Gemini
A7,A7_Q08_Finalchoice,1,Flash
A7,A7_Q08_Finalchoice,2,Gemini
A7,A7_Q08_Finalchoice,3,Qwen
A7,A7_Q08_Finalchoice,4,DeepSeek
A11,A11_Q01_Fluency,1,Flash
A11,A11_Q01_Fluency,2,Gemini
A11,A11_Q01_Fluency,3,DeepSeek
A11,A11_Q01_Fluency,4,Qwen
A11,A11_Q02_Coherence,1,Qwen
A11,A11_Q02_Coherence,2,DeepSeek
A11,A11_Q02_Coherence,3,Flash
A11,A11_Q02_Coherence,4,Gemini
A11,A11_Q03_Conciseness,1,Gemini
A11,A11_Q03_Conciseness,2,DeepSeek
A11,A11_Q03_Conciseness,3,Qwen
A11,A11_Q03_Conciseness,4,Flash
A11,A11_Q04_Accuracy,1,Gemini
A11,A11_Q04_Accuracy,2,DeepSeek
