task_id,prompt_label,candidate_index,model
A2,A2_Q01_Fluency,1,Qwen
A2,A2_Q01_Fluency,2,DeepSeek
A2,A2_Q01_Fluency,3,Gemini
A2,A2_Q01_Fluency,4,Flash
A2,A2_Q02_Coherence,1,DeepSeek
A2,A2_Q02_Coherence,2,Flash
A2,A2_Q02_Coherence,3,Qwen
A2,A2_Q02_Coherence,4,Gemini
A2,A2_Q03_Conciseness,1,DeepSeek
A2,A2_Q03_Conciseness,2,Gemini
A2,A2_Q03_Conciseness,3,Qwen
A2,A2_Q03_Conciseness,4,Flash
A2,A2_Q04_Accuracy,1,Qwen
A2,A2_Q04_Accuracy,2,Flash
A2,A2_Q04_Accuracy,3,Gemini
A2,A2_Q04_Accuracy,4,DeepSeek
A2,A2_Q05_Sentimentmatch,1,Flash
A2,A2_Q05_Sentimentmatch,2,Gemini
A2,A2_Q05_Sentimentmatch,3,DeepSeek
A2,A2_Q05_Sentimentmatch,4,Qwen
A2,A2_Q06_Motivationaltone,1,Flash
A2,A2_Q06_Motivationaltone,2,Qwen
A2,A2_Q06_Motivationaltone,3,Gemini
A2,A2_Q06_Motivationaltone,4,DeepSeek
A2,A2_Q07_Constructiveness,1,DeepSeek
A2,A2_Q07_Constructiveness,2,Qwen
A2,A2_Q07_Constructiveness,3,Flash
A2,A2_Q07_Constructiveness,4,Gemini
A2,A2_Q08_Finalchoice,1,Qwen
A2,A2_Q08_Finalchoice,2,Gemini
A2,A2_Q08_Finalchoice,3,Flash
A2,A2_Q08_Finalchoice,4,DeepSeek
A3,A3_Q01_Fluency,1,DeepSeek
A3,A3_Q01_Fluency,2,Flash
A3,A3_Q01_Fluency,3,Gemini
A3,A3_Q01_Fluency,4,Qwen
A3,A3_Q02_Coherence,1,DeepSeek
A3,A3_Q02_Coherence,2,Qwen
A3,A3_Q02_Coherence,3,Flash
A3,A3_Q02_Coherence,4,Gemini
A3,A3_Q03_Conciseness,1,Qwen
A3,A3_Q03_Conciseness,2,Gemini
A3,A3_Q03_Conciseness,3,DeepSeek
A3,A3_Q03_Conciseness,4,Flash
A3,A3_Q04_Accuracy,1,Qwen
A3,A3_Q04_Accuracy,2,DeepSeek
A3,A3_Q04_Accuracy,3,Flash
A3,A3_Q04_Accuracy,4,Gemini
A3,A3_Q05_Sentimentmatch,1,Qwen
A3,A3_Q05_Sentimentmatch,2,Flash
A3,A3_Q05_Sentimentmatch,3,Gemini
A3,A3_Q05_Sentimentmatch,4,DeepSeek
A3,A3_Q06_Motivationaltone,1,DeepSeek
A3,A3_Q06_Motivationaltone,2,Qwen
A3,A3_Q06_Motivationaltone,3,Gemini
A3,A3_Q06_Motivationaltone,4,Flash
A3,A3_Q07_Constructiveness,1,DeepSeek
A3,A3_Q07_Constructiveness,2,Qwen
A3,A3_Q07_Constructiveness,3,Flash
A3,A3_Q07_Constructiveness,4,Gemini
A3,A3_Q08_Finalchoice,1,Gemini
A3,A3_Q08_Finalchoice,2,DeepSeek
A3,A3_Q08_Finalchoice,3,Flash
A3,A3_Q08_Finalchoice,4,Qwen
A8,A8_Q01_Fluency,1,Gemini
A8,A8_Q01_Fluency,2,Qwen
A8,A8_Q01_Fluency,3,DeepSeek
A8,A8_Q01_Fluency,4,Flash
A8,A8_Q02_Coherence,1,Qwen
