task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
B12,Summarise,DeepSeek,B_V1,0.0,0.0,1.0,,0.0,0.0,0.0,0.0
B12,Summarise,Flash,B_V1,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.0,1.0,0.6666666666666667,1.0,0.6666666666666667
B12,Summarise,Gemini,B_V1,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0
B12,Summarise,Qwen,B_V1,1.0,1.0,0.0,,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337
B14,Interpret,DeepSeek,B_V1,0.33333333333333337,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.0,0.0,0.0
B14,Interpret,Flash,B_V1,0.0,0.0,0.0,,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337
B14,Interpret,Gemini,B_V1,0.6666666666666667,0.33333333333333337,1.0,0.0,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667
B14,Interpret,Qwen,B_V1,1.0,1.0,0.33333333333333337,,0.33333333333333337,1.0,1.0,1.0
B18,Interpret,DeepSeek,B_V1,0.0,0.0,0.6666666666666667,,0.6666666666666667,0.0,0.0,0.0
B18,Interpret,Flash,B_V1,0.6666666666666667,0.6666666666666667,0.0,1.0,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337
B18,Interpret,Gemini,B_V1,0.33333333333333337,0.33333333333333337,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666667
B18,Interpret,Qwen,B_V1,1.0,1.0,0.33333333333333337,0.5,1.0,1.0,0.6666666666666667,1.0
B2,Idea-to-Text,DeepSeek,B_V1,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
B2,Idea-to-Text,Flash,B_V1,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0
B2,Idea-to-Text,Gemini,B_V1,0.33333333333333337,0.0,1.0,0.33333333333333337,0.6666666666666667,0.0,1.0,0.33333333333333337
B2,Idea-to-Text,Qwen,B_V1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
B3,Idea-to-Text,DeepSeek,B_V1,0.33333333333333337,0.33333333333333337,0.33333333333333337,,1.0,0.33333333333333337,1.0,0.0
B3,Idea-to-Text,Flash,B_V1,0.6666666666666667,0.6666666666666667,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
B3,Idea-to-Text,Gemini,B_V1,0.0,0.0,1.0,,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337
B3,Idea-to-Text,Qwen,B_V1,1.0,1.0,0.6666666666666667,1.0,0.0,1.0,0.0,1.0
B7,Summarise,DeepSeek,B_V1,0.33333333333333337,0.33333333333333337,1.0,,0.0,0.0,0.0,0.0
B7,Summarise,Flash,B_V1,0.0,0.0,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337
B7,Summarise,Gemini,B_V1,1.0,0.6666666666666667,0.33333333333333337,,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0
B7,Summarise,Qwen,B_V1,0.6666666666666667,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666667
